iter	Passed	Remaining
0	56	56824
1	57	28543
2	57	19108
3	57	14387
4	58	11558
5	58	9667
6	58	8313
7	58	7299
8	59	6509
9	59	5876
10	59	5360
11	59	4935
12	60	4571
13	60	4259
14	60	3990
15	61	3752
16	61	3544
17	61	3358
18	61	3193
19	62	3042
20	62	2907
21	62	2783
22	62	2670
23	63	2566
24	63	2472
25	63	2384
26	64	2306
27	64	2232
28	64	2162
29	64	2097
30	65	2034
31	65	1976
32	65	1921
33	65	1869
34	66	1821
35	66	1775
36	66	1732
37	66	1694
38	67	1654
39	67	1619
40	67	1584
41	67	1550
42	68	1518
43	68	1487
44	68	1458
45	68	1430
46	69	1403
47	69	1377
48	69	1353
49	69	1329
50	70	1306
51	70	1286
52	70	1265
53	71	1245
54	71	1226
55	71	1207
56	71	1189
57	72	1171
58	72	1154
59	72	1138
60	72	1122
61	73	1107
62	73	1092
63	73	1077
64	73	1063
65	74	1049
66	74	1036
67	74	1021
68	74	1009
69	75	996
70	75	984
71	75	973
72	75	961
73	75	950
74	76	939
75	76	929
76	76	919
77	76	909
78	77	899
79	77	889
80	77	880
81	77	870
82	78	862
83	78	854
84	78	844
85	78	836
86	78	826
87	79	818
88	79	811
89	79	803
90	79	796
91	79	788
92	80	781
93	80	775
94	80	768
95	80	762
96	81	755
97	81	749
98	81	743
99	81	736
100	82	730
101	82	723
102	82	717
103	82	711
104	82	706
105	83	700
106	83	695
107	83	690
108	83	684
109	84	679
110	84	675
111	84	670
112	84	665
113	84	660
114	85	655
115	85	650
116	85	646
117	85	641
118	86	637
119	86	632
120	86	628
121	86	624
122	86	619
123	87	615
124	87	611
125	87	607
126	87	603
127	87	599
128	88	595
129	88	591
130	88	588
131	88	584
132	89	581
133	89	577
134	89	574
135	89	570
136	90	567
137	90	563
138	90	560
139	90	557
140	90	553
141	91	550
142	91	547
143	91	544
144	91	541
145	92	538
146	92	535
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	518
153	93	516
154	94	513
155	94	510
156	94	508
157	94	505
158	95	503
159	95	501
160	95	498
161	95	496
162	96	493
163	96	491
164	96	489
165	96	487
166	97	484
167	97	482
168	97	480
169	97	477
170	98	475
171	98	473
172	98	471
173	98	469
174	99	467
175	99	464
176	99	462
177	99	460
178	100	458
179	100	456
180	100	453
181	100	451
182	100	449
183	101	447
184	101	445
185	101	444
186	101	442
187	101	440
188	102	438
189	102	436
190	102	434
191	102	433
192	103	431
193	103	429
194	103	427
195	103	425
196	104	423
197	104	422
198	104	420
199	104	418
200	104	417
201	105	415
202	105	414
203	105	412
204	105	411
205	106	409
206	106	407
207	106	406
208	107	405
209	107	403
210	107	402
211	107	400
212	107	398
213	108	397
214	108	395
215	108	394
216	108	393
217	109	391
218	109	390
219	109	388
220	109	387
221	110	385
222	110	384
223	110	383
224	110	381
225	111	380
226	111	378
227	111	377
228	111	376
229	111	374
230	112	373
231	112	372
232	112	371
233	112	369
234	113	368
235	113	367
236	113	366
237	113	364
238	114	363
239	114	362
240	114	361
241	114	360
242	115	359
243	115	357
244	115	356
245	115	355
246	116	354
247	116	352
248	116	351
249	116	350
250	117	349
251	117	348
252	117	346
253	117	345
254	117	344
255	118	343
256	118	342
257	118	341
258	118	340
259	119	339
260	119	338
261	119	337
262	119	336
263	120	334
264	120	334
265	120	333
266	120	331
267	121	330
268	121	329
269	121	328
270	121	327
271	122	326
272	122	325
273	122	324
274	122	323
275	122	322
276	123	321
277	123	320
278	123	319
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	125	313
285	125	312
286	125	311
287	125	310
288	125	309
289	126	309
290	126	308
291	126	307
292	126	306
293	127	305
294	127	304
295	127	303
296	127	302
297	128	301
298	128	301
299	128	300
300	128	299
301	129	298
302	129	297
303	129	296
304	129	296
305	130	295
306	130	294
307	130	293
308	130	292
309	131	291
310	131	291
311	131	290
312	131	289
313	132	288
314	132	288
315	132	287
316	132	286
317	133	285
318	133	284
319	133	284
320	133	283
321	134	282
322	134	281
323	134	280
324	134	280
325	135	279
326	135	278
327	135	277
328	135	276
329	136	276
330	136	275
331	136	274
332	136	273
333	136	273
334	137	272
335	137	271
336	137	271
337	138	270
338	138	269
339	138	268
340	138	268
341	138	267
342	139	266
343	139	265
344	139	265
345	139	264
346	140	263
347	140	262
348	140	262
349	140	261
350	141	260
351	141	260
352	141	259
353	141	258
354	142	258
355	142	257
356	142	256
357	142	255
358	142	255
359	143	254
360	143	253
361	143	253
362	143	252
363	144	251
364	144	251
365	144	250
366	144	249
367	144	248
368	145	248
369	145	247
370	145	247
371	145	246
372	146	245
373	146	245
374	146	244
375	146	243
376	147	243
377	147	242
378	147	241
379	147	241
380	148	240
381	148	239
382	148	239
383	148	238
384	149	238
385	149	237
386	149	236
387	149	236
388	150	235
389	150	234
390	150	234
391	150	233
392	150	233
393	151	232
394	151	231
395	151	231
396	151	230
397	152	230
398	152	229
399	152	228
400	152	228
401	152	227
402	153	226
403	153	226
404	153	225
405	154	225
406	154	224
407	154	224
408	154	223
409	154	222
410	155	222
411	155	221
412	155	221
413	155	220
414	156	220
415	156	219
416	156	218
417	156	218
418	157	217
419	157	217
420	157	216
421	157	216
422	158	215
423	158	214
424	158	214
425	158	213
426	158	213
427	159	212
428	159	212
429	159	211
430	160	211
431	160	210
432	160	210
433	160	209
434	160	209
435	161	208
436	161	207
437	161	207
438	161	206
439	162	206
440	162	205
441	162	205
442	162	204
443	163	204
444	163	203
445	163	203
446	163	202
447	164	202
448	164	201
449	164	201
450	164	200
451	164	199
452	165	199
453	165	198
454	165	198
455	165	197
456	166	197
457	166	196
458	166	196
459	166	195
460	167	195
461	167	194
462	167	194
463	167	193
464	168	193
465	168	192
466	168	192
467	168	191
468	168	191
469	169	190
470	169	190
471	169	189
472	169	189
473	170	188
474	170	188
475	170	187
476	170	187
477	171	186
478	171	186
479	171	185
480	171	185
481	172	184
482	172	184
483	172	183
484	172	183
485	172	182
486	173	182
487	173	181
488	173	181
489	173	180
490	174	180
491	174	180
492	174	179
493	174	179
494	175	178
495	175	178
496	175	177
497	175	177
498	175	176
499	176	176
500	176	175
501	176	175
502	176	174
503	177	174
504	177	173
505	177	173
506	177	172
507	178	172
508	178	172
509	178	171
510	178	171
511	179	170
512	179	170
513	179	169
514	179	169
515	180	168
516	180	168
517	180	167
518	180	167
519	180	167
520	181	166
521	181	166
522	181	165
523	181	165
524	182	164
525	182	164
526	182	163
527	182	163
528	183	163
529	183	162
530	183	162
531	183	161
532	184	161
533	184	160
534	184	160
535	184	159
536	184	159
537	185	159
538	185	158
539	185	158
540	185	157
541	186	157
