iter	Passed	Remaining
0	58	57949
1	58	29097
2	58	19468
3	58	14650
4	59	11760
5	59	9838
6	59	8460
7	59	7426
8	60	6621
9	60	5977
10	60	5450
11	60	5014
12	61	4645
13	61	4328
14	61	4052
15	61	3810
16	62	3596
17	62	3412
18	62	3242
19	63	3089
20	63	2951
21	63	2824
22	63	2710
23	64	2604
24	64	2509
25	64	2420
26	64	2337
27	65	2259
28	65	2187
29	65	2121
30	65	2057
31	66	1998
32	66	1943
33	66	1890
34	66	1840
35	66	1793
36	67	1749
37	67	1710
38	67	1670
39	68	1632
40	68	1596
41	68	1563
42	68	1532
43	69	1501
44	69	1471
45	69	1443
46	69	1415
47	70	1390
48	70	1365
49	70	1341
50	70	1317
51	71	1295
52	71	1273
53	71	1253
54	72	1237
55	72	1218
56	72	1201
57	72	1184
58	73	1166
59	73	1149
60	73	1133
61	73	1117
62	74	1102
63	74	1087
64	74	1072
65	74	1059
66	75	1045
67	75	1032
68	75	1019
69	75	1006
70	76	994
71	76	984
72	76	973
73	76	962
74	77	952
75	77	941
76	77	931
77	77	921
78	78	911
79	78	901
80	78	892
81	78	883
82	78	872
83	79	863
84	79	855
85	79	847
86	79	838
87	80	830
88	80	822
89	80	815
90	80	807
91	81	800
92	81	793
93	81	786
94	81	779
95	82	772
96	82	765
97	82	759
98	82	753
99	82	746
100	83	740
101	83	734
102	83	728
103	83	722
104	84	717
105	84	712
106	84	708
107	85	704
108	85	699
109	85	693
110	86	690
111	86	685
112	86	681
113	87	677
114	87	672
115	87	668
116	87	663
117	88	658
118	88	654
119	88	649
120	88	645
121	88	640
122	89	636
123	89	632
124	89	628
125	89	624
126	90	619
127	90	615
128	90	612
129	90	608
130	91	604
131	91	601
132	91	597
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	577
139	93	574
140	93	571
141	93	567
142	94	563
143	94	560
144	94	557
145	94	554
146	95	552
147	95	549
148	95	546
149	95	543
150	96	540
151	96	537
152	96	534
153	96	532
154	97	529
155	97	526
156	97	523
157	97	521
158	98	518
